Statute,On e-Laws,Minister(s) Responsible,Ministerial Responsibility (OIC and Gazette Date),Legislative History,Part left unconsolidated and unrepealed by R.S.O. 1990,Repealed on d/m/y,Repealed by
"Agricultural and Horticultural Organizations Act, 1988, S.O. 1988, c. 60","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Agricultural and Horticultural Organizations Act, R.S.O. 1990, c. A.9","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","2002, c. 17, Sch. F, Table
2004, c. 31, Sch. 2
2006, c. 21, Sch. F, s. 102
2009, c. 33, Sch. 1, s. 2
2011, c. 9, Sch. 1","","",""
"Agricultural Associations Amendment Act, 1950, S.O. 1950, 14 George VI, c. 1","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 18"
"Agricultural Committees Act, R.S.O. 1990, c. A.10","Yes",,,,"","09/12/1994","1994, c. 27, s. 2"
"Agricultural Development Amendment Act, 1949, S.O. 1949, 13 George VI, c. 2","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 19 (2)"
"Agricultural Development Finance Amendment Act, 1949, S.O. 1949, 13 George VI, c. 3","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 20"
"Agricultural Development Repeal Amendment Act, 1979, S.O. 1979, 27-28 Elizabeth II, c. 35","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 19 (4)"
"Agricultural Employees Protection Act, 2002, S.O. 2002, c. 16 ","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","2019, c. 4, Sch. 1, s. 1-3","","",""
"Agricultural Labour Relations Act, 1994, S.O. 1994, c. 6","Yes",,,,"","10/11/1995","1995, c. 1, s. 80 (see also s. 81)"
"Agricultural Products Insurance Act, 1996, S.O. 1996, c. 17, Sched. C (formerly Crop Insurance Act (Ontario), 1996)","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)
1142/2018 (10/11/2018)","1999, c. 12, Sch. A, s. 7
2010, c. 16, Sch. 1, s. 1
2015, c. 6, s. 1-8","","",""
"Agricultural Rehabilitation and Development Act (Ontario), R.S.O. 1990, c. A.11 ","Yes",,,,"","27/06/2006","1996, c. 17, Sch. J, s. 1 (2)"
"Agricultural Representatives Act, R.S.O. 1990, c. A.12","Yes",,,,"","09/12/1994","1994, c. 27, s. 4"
"Agricultural Research Institute of Ontario Act, R.S.O. 1990, c. A.13","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1994, c. 27, s. 5
2004, c. 17, s. 32
2009, c. 33, Sch. 1, s. 3
2017, c. 20, Sch. 7, s. 76
2017, c. 20, Sch. 8, s. 62
2017, c. 34, Sch. 46, s. 3","","",""
"Agricultural Societies Act, 1924, S.O. 1924, 14 George V, c. 29","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 21 (3)"
"Agricultural Societies Act, R.S.O. 1914, c. 47","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 21 (1)"
"Agricultural Societies Amendment Act, 1921, S.O. 1921, 11 George V, c. 30","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 21 (2)"
"Agricultural Tile Drainage Installation Act, R.S.O. 1990, c. A.14","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1994, c. 27, s. 8
1999, c. 12, Sch. A, s. 2
2006, c. 19, Sch. A, s. 1
2006, c. 19, Sch. C, s. 1 (1)
2009, c. 33, Sch. 1, s. 4","","",""
"Agriculture and Food Institute of Ontario Act, 1996, S.O. 1996, c. 17, Sched. B","Yes",,,,"","31/03/1999","1996, c. 17, Sch. B, s. 22"
"Airports Act, R.S.O. 1990, c. A.15","Yes","Minister of Transportation","1162/2018 (10/11/2018)","2002, c. 17, Sch. F, Table","","",""
"Albanian Heritage Month Act, 2016, S.O. 2016, c. 29","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)",,"","",""
"Alberta Coal Sales Act, R.S.O. 1950, c. 14","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Alcohol, Cannabis and Gaming Regulation and Public Protection Act, 1996, S.O. 1996, c. 26, Sched. (formerly under Alcohol and Gaming Regulation and Public Protection Act, 1996)","Yes","Attorney General, in respect of Part I
Minister of Finance, in respect of Part II","Attorney General: 1143/2018 (10/11/2018)
Minister of Finance: 1150/2018 (10/11/2018)","2002, c. 18, Sch. E, s. 1
2006, c. 34, s. 1, 27
2009, c. 34, Sch. A, s. 1-10
2010, c. 1, Sch. 1, s. 1-11
2010, c. 26, Sch. 1
2011, c. 1, Sch. 1, s. 1
2011, c. 9, Sch. 2
2015, c. 20, Sch. 1
2015, c. 38, Sch. 9, s. 45
2016, c. 37, Sch. 1
2016, c. 5, Sch. 2
2017, c. 20, Sch. 8, s. 63
2017, c. 34, Sch. 46, s. 4
2017, c. 8, Sch. 1
2018, c. 12, Sch. 2, s. 50
2018, c. 17, Sch. 1
2018, c. 8, Sch. 32, s. 7
2019, c. 7, Sch. 2
2019, c. 7, Sch. 2
CTS 17 NO 16 - 1","","",""
"Alcoholism and Drug Addiction Research Foundation Act, R.S.O. 1990, c. A.16","Yes","Minister of Health","1110/2019 (31/08/2019)","2004, c. 17, s. 32
2006, c. 19, Sch. L, s. 11 (2)","","",""
"Algoma Central and Hudson Bay Railway Company Act, 1941, S.O. 1941, c. 4","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Algoma Central and Hudson Bay Railway Company Amendment Act, 1966, S.O. 1966, c. 6","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Algoma University Act, 2008, S.O. 2008, c. 13 ","Yes","Minister of Training, Colleges and Universities","1161/2018 (10/11/2018)","2008, c. 13, s. 38, 39
2009, c. 33, Sch. 2, s. 4
2017, c. 20, Sch. 8, s. 64","","",""
"Algonquin Forestry Authority Act, R.S.O. 1990, c. A.17","Yes","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)","1994, c. 25, s. 78
2002, c. 18, Sch. L, s. 1
2004, c. 17, s. 32
2006, c. 12, s. 58
2006, c. 35, Sch. C, s. 4
2007, c. 7, Sch. 7, s. 179
2017, c. 20, Sch. 8, s. 65
2017, c. 34, Sch. 46, s. 5","","",""
"Algonquin Provincial Park Extension Act, 1960-61, S.O. 1960-61, c. 3","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Aliens Real Property Act, R.S.O. 1914, c. 108","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Aliens' Real Property Act, R.S.O. 1990, c. A.18","Yes","Attorney General","1143/2018 (10/11/2018)",,"","",""
"Ambulance Act, R.S.O. 1990, c. A.19","Yes","Minister of Health","1110/2019 (31/08/2019)","1996, c. 32, s. 59
1997, c. 15, s. 1
1997, c. 30, Sch. A, s. 1-20
1998, c. 18, Sch. G, s. 45
1998, c. 34, s. 1-10
1999, c. 12, Sch. J, s. 1-24
1999, c. 9, s. 1-9
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. I, s. 1
2002, c. 24, Sch. B, s. 25
2004, c. 3, Sch. A, s. 76
2005, c. 31, Sch. 1
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 33, Sch. Z.3, s. 2
2007, c. 10, Sch. A
2009, c. 33, Sch. 18, s. 1, 17 (2)
2014, c. 13, Sch. 2
2017, c. 25, Sch. 1
2019, c. 7, Sch. 17, s. 37
2019, c. 7, Sch. 17, s. 37","","",""
"Ambulance Services Collective Bargaining Act, 2001, S.O. 2001, c. 10 ","Yes","Minister of Labour","1156/2018 (10/11/2018)","2002, c. 18, Sch. J, s. 1
2005, c. 15, s. 13
2006, c. 21, Sch. F, s. 136 (1)
2018, c. 3, Sch. 5, s. 1 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 1","","",""
"Ammunition Regulation Act, 1994, S.O. 1994, c. 20","Yes","Solicitor General","635/2019 (04/05/2019)","2009, c. 33, Sch. 9, s. 1","","",""
"Amusement Devices Act, R.S.O. 1990, c. A.20","Yes",,,"1994, c. 27, s. 69
1996, c. 19, s. 16","","27/06/2001","2000, c. 16, s. 45 (1)"
"An Act amending The Act respecting Aid by Land Grant to the Thunder Bay, Nipigon and St. Joe Railway Company, S.O. 1904, c. 21","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act concerning Monopolies, and Dispensation with penal laws, etc. R.S.O. 1897, c. 323","No",,,,"See R.S.O. 1980, Appendix A","",""
"An Act for raising Money on the Credit of the Consolidated Revenue Fund, S.O. 1912, c. 2","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act for the Protection of Insectivorous Birds, S.O. 1918, c. 50","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act for the settlement of questions between the Governments of Canada and Ontario respecting Indian Lands, S.O. 1891, c. 3","No","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)",,"Total","",""
"An Act relating to Mines and Mining Lands, S.O. 1894, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act relating to Railways, S.O. 1891, c. 39","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act relating to the Avenues and Approaches to Queen’s Park, Toronto, S.O. 1913, c. 75","No",,,,"Total","",""
"An Act relating to the Municipality of Shuniah, and the tax imposed on lands in the District of Algoma, S.O. 1875-76, c. 37","No",,,,"s. 1, 4, 6-9, 11-14 (in so far as not inconsistent with 1936, c. 83)","",""
"An Act respecting a certain Agreement between the University of Toronto and the Corporation of the City of Toronto, S.O. 1907, c. 54","No",,,,"Total","",""
"An Act respecting Aid by Land Grant to the Algoma Central Railway Company, S.O. 1900, c. 30","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting aid by Land Grant to the Canada Central Railway Company, S.O. 1903, c. 5","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid by Land Grant to the Manitoulin and North Shore Railway Company, S.O. 1901, c. 23","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting aid by Land Grant to the Thunder Bay, Nipigon and St. Joe Railway Company, S.O. 1901, c. 24","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting aid from the Dominion of Canada for Highway Construction , S.O. 1912, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways , S. O. 1893, c. 34","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways , S.O. 1913, c. 39","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to certain Railways and for other purposes, S.O. 1875-6, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting aid to certain Railways and the creation of a Railway Land Subsidy Fund, S.O. 1877, c. 14","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to certain Railways, S.O. 1878, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1881, c. 23","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to certain Railways, S.O. 1889, c. 35","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1890, c. 46","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1892, c. 41","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1894, c. 49","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1895, c. 36","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1896, c. 48","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1897, c. 40","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1898, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1900, c. 29","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1901, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1902, c. 25","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1904, c. 18","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Certain Railways, S.O. 1909, c. 69","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to Railways, R.S.O. 1877, c. 166","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to the Algoma Central and Hudson Bay Railway and Associated Industries at Sault Ste. Marie, S.O. 1904, c. 19","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Aid to the Canadian Northern Ontario Railway, S.O. 1909, c. 71","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting an Agreement between the Commissioners for the Queen Victoria Niagara Falls Park and The Electrical Development Company of Ontario, Limited, S.O. 1908, c. 30","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting arbitration with the Province of Quebec, S.O. 1888, c. 3","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Awards under The Niagara Falls Park Act, S.O. 1886, c. 9","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Bonuses by Municipal Corporations in Certain Cases, S.O. 1892, c. 44","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting certain Aid towards the Construction of the Canadian Northern Railway and Terminals, S.O. 1908, c. 47","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting certain aid towards the construction of the James Bay Railway, S.O. 1904, c. 20","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting certain Bequests of the late George Cummings Butler Dwyer Brophy, S.O. 1915, c. 10","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting certain Funds held in Trust for the Province by the Dominion of Canada, S.O. 1908, c. 13","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting certain Lands forming part of the Property of the University of Toronto, S.O. 1897, c. 60","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting certain Leases of Lands in the Township of Matchedash, S.O. 1913, c. 7","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting certain Orders-in-Council and certain Crown Suits, S.O. 1906, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Certain Rights and Liberties of the People, R.S.O. 1897, c. 322","No",,,,"See R.S.O. 1980, Appendix A","",""
"An Act respecting Champerty, R.S.O. 1897, c. 327","No",,,,"See R.S.O. 1980, Appendix A","",""
"An Act respecting Cobalt Lake and Kerr Lake, S.O. 1907, c. 15","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Federal Grants for Agricultural Purposes, S.O. 1912, c. 15","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Government House Property, S.O. 1913, c. 13","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Land Grants to Railways, S.O. 1912, c. 36","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Law Fees and Trust Funds, S.O. 1869, c. 9","No",,,,"s. 3","",""
"An Act respecting Lunatics, R.S.O. 1897, c. 341","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Marriages and Licenses and Certificates to Marry, S.O. 1874, c. 8","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Municipalities in Algoma, Muskoka, Parry Sound, Nipissing and Thunder Bay, S.O. 1885, c. 41","No",,,,"s. 3","",""
"An Act respecting Niagara Falls Park, S.O. 1887, c. 13","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Payment of Insurance on Lives of Soldiers, S.O. 1920, c. 61","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Railway Lands, S.O. 1895, c. 37","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Real Property, R.S.O. 1897, c. 330","No",,,,"See R.S.O. 1980, Appendix A","",""
"An Act respecting Rectories, R.S.O. 1897, c. 306","No",,,,"s. 2-4","",""
"An Act respecting the Algoma Central and Hudson Bay Railway Company, S.O. 1909, c. 70","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the application of the Surplus Distribution Money, S.O. 1875-6, c. 4","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Boundary between the Provinces of Ontario and Manitoba, S.O. 1899, c. 2","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Custody of Certain Records, S.O. 1916, c. 25","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Debt of the Town of Sault Ste. Marie to Her Majesty as representing this Province, S.O. 1893, c. 6","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the District of Rainy River, S.O. 1885, c. 20","No",,,,"s. 12","",""
"An Act respecting the Filing of Claims against Certain Companies or their Properties, S.O. 1922, c. 33","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting The Hydro-Electric Power Commission of Ontario , S.O. 1910, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Imperial Statutes relating to property and civil rights incorporated into the Statute Law of Ontario, S.O. 1902, c. 13","No",,,,"Total","",""
"An Act respecting the Land Grant to the Grand Trunk Pacific Railway Company, S.O. 1907, c. 39","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Manitoulin and North Shore Railway Company, S.O. 1909, c. 72","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Municipality of Shuniah, S.O. 1877, c. 31","No",,,,"s. 1-8 (in so far as not inconsistent with 1936, c. 83)","",""
"An Act respecting The Ontario and Minnesota Power Company, S.O. 1911, c. 7","No",,,,"Total","",""
"An Act respecting the Operation of Statutes of Ontario , S.O. 1874, c. 4","No",,,,"s. 2","",""
"An Act respecting the registration of Railway Aid Scrip, S.O. 1878, c. 19","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Revision and Consolidation of the Statutes of Ontario, S.O. 1913, c. 2","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Sale and Management of Timber on Public Lands , R.S.O. 1877, c. 26","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the settlement by arbitration, of accounts between the Dominion of Canada and the Provinces of Ontario and Quebec, and between the said two provinces, S.O. 1891, c. 2","No",,,,"Total","",""
"An Act respecting the site of the new Legislative and Departmental Buildings, S.O. 1894, c. 12","No",,,,"Total","",""
"An Act respecting the Survey of Part of the Township of Gibson, S.O. 1911, c. 8","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Toronto General Hospital, S.O. 1928, c. 58","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the University of Toronto, S.O. 1905, c. 37","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting the Upper Canada Land Improvement Fund , S.O. 1882, c. 3","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act Respecting the Upper Canada Land Improvement Fund, S.O. 1886, c. 6","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act respecting Tithes, R.S.O. 1897, c. 305","No",,,,"Total","",""
"An Act respecting Works and Measures to relieve Unemployment, S.O. 1922, c. 41","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"An Act setting apart certain wild lands of the Crown for the use of the University of Toronto, and for other purposes, S.O. 1897, c. 59","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
